Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Because spend,1978,2.2,Comedy,Paula Ray,155,Spanish,32.77,Hernandez Ltd,Matthew Harmon,Sophia Brown,Uganda,181736,45.56,False
Act job strong,2013,3.5,Thriller,Grant Quinn,80,German,331.64,"Oliver, Shannon and Price",April Lewis,Sherry Garrett,Macao,978177,181.15,True
Partner mission today,1980,2.7,Drama,Thomas Hernandez,170,English,47.15,Wright Inc,Melissa Keller,Jeffrey Hunt,Libyan Arab Jamahiriya,922978,137.57,False
Long civil imagine,2015,4.0,Thriller,Jennifer Jones,152,French,983.23,"Lara, Miller and Taylor",Jerome Moore,Tamara Wilcox,Bouvet Island (Bouvetoya),958167,77.94,False
Event health,1975,3.0,Animation,Grant Quinn,167,Mandarin,953.41,"Tucker, Green and Brown",Elaine Wilkerson,Megan Gomez,Uzbekistan,650144,186.89,False
Throw themselves edge,1986,5.3,Sci-Fi,Christopher Collins,132,Spanish,630.41,"Frost, Wilson and Howard",Gary Oneill,Christopher Evans,Grenada,578678,236.1,False
Indeed total,1982,7.6,Animation,Martha Alvarez,178,Hindi,435.35,Kelly-Owens,Erin Scott,Teresa Compton,Germany,960005,185.07,False
Left development,1984,8.8,Fantasy,Devon Higgins,106,Mandarin,130.08,Berry-Myers,Jesse Evans,Mrs. Kelly Wilson MD,Macedonia,130638,242.84,True
Anything,2008,7.3,Sci-Fi,Joseph Bailey,99,Spanish,132.12,Kelly Inc,Kim Cox,Rebecca Daniels,Congo,483603,118.56,False
Now good,2022,7.0,Horror,Thomas Nelson MD,128,Korean,861.89,"Duncan, Hayes and Williams",Frank Wall,Bruce Scott,Tuvalu,59163,24.83,True
Might sister sense relate,1992,8.4,Fantasy,Eric Escobar,164,Mandarin,554.18,"Carr, Lee and Williams",James Austin,Mary Reynolds,Hong Kong,437813,156.76,True
Himself according,1983,1.9,Mystery,Dennis Potter,121,German,127.86,Kelly PLC,Amanda Anderson,Kathryn Burnett,Czech Republic,813120,291.55,True
Lay no would,1983,2.2,Thriller,Daniel Carter,111,Japanese,264.58,Mccormick-Hill,Brent Garcia,Jasmine Hall,Malawi,205200,283.88,True
Field prove,1984,9.2,Horror,Benjamin Holt,175,Korean,610.39,Sandoval LLC,Jonathon Ramirez,Jeanette Mendez,Kyrgyz Republic,698653,117.19,False
Pick mission step,1971,6.8,Sci-Fi,Kayla Gregory,174,Hindi,481.94,"Green, Norton and Murray",Brandon Fletcher,Julie Barnes MD,Papua New Guinea,198824,160.07,False
Different,1987,8.9,Sci-Fi,Robert Blankenship,92,Hindi,806.7,Davis-Morris,Jessica Duncan,Diana Campbell,Netherlands,761909,158.17,True
Rock seem,2004,6.2,Action,Joel Hanson,179,Hindi,135.75,"Stewart, Brewer and Jordan",Terri Combs,Terry Weaver,China,455798,132.29,False
School check against,2021,1.3,Sci-Fi,Clayton Horn,109,Spanish,882.94,"Simmons, Rios and Singh",Tony Barron,Shannon Porter,Cameroon,262908,258.8,True
Structure laugh,1995,8.2,Romance,Phillip Perez,123,English,720.61,Aguilar and Sons,Paul James,Cindy Gordon,Bhutan,946385,152.67,True
Turn particular option common,1984,8.0,Drama,Margaret Walker,110,Hindi,476.9,"Duncan, Levine and Shaffer",Brandon Robbins,Karen Brown,Guinea,700929,293.4,False
All section discover fact,2004,1.0,Comedy,Arthur Moore,169,French,743.93,Boyd PLC,Dana David,Kenneth Davis,United Arab Emirates,844564,196.47,False
Surface here,1972,3.2,Action,Audrey Graham,160,Hindi,715.12,Zuniga-Contreras,David Forbes DVM,Richard Brown,Equatorial Guinea,560571,52.07,True
Read road,2017,3.4,Horror,Priscilla Davis,110,French,121.75,Bautista LLC,Amanda Morris,Gregory Brady,Ireland,241532,38.15,True
Understand sit night,2015,7.2,Drama,Cindy Davis,176,Hindi,105.96,Wade-Gomez,Billy Robinson,Brandon Salinas,Portugal,604866,204.59,False
Become international check involve,2019,4.9,Animation,Nathaniel Owens,170,German,569.46,"Compton, Waller and Garcia",John Spencer,Amber Ortiz,Guadeloupe,156609,202.84,True
As ever fight,1976,2.7,Comedy,Dale Estrada,125,Korean,987.44,Hall Ltd,Hannah Conley,Molly Conrad,Indonesia,753464,177.36,False
From language service,2008,2.9,Horror,Catherine Williams,169,Spanish,513.17,Martinez-Vasquez,Pam Hall,Russell Tate,Mexico,715809,184.67,False
Meet local market,1975,3.7,Mystery,Angel Montgomery,109,French,278.91,Fisher and Sons,Robert Pham,Daniel Barnes,Brazil,162665,70.74,True
Technology want,1990,9.4,Horror,Alison Mccoy,140,Japanese,970.27,Brown Group,Gwendolyn Morgan,Thomas Johnson,Holy See (Vatican City State),1915,58.59,True
Role south,2020,2.0,Romance,Sarah Duncan,142,Mandarin,910.97,Hernandez LLC,Christine Gomez,Gary Hernandez,Malaysia,650998,5.89,True
Fire pretty,2009,7.6,Comedy,Mark Newman,111,Spanish,913.14,"Giles, Brown and Williams",Jamie Madden,Jessica Adams,Honduras,851234,49.49,False
Herself anyone political,2019,2.2,Comedy,Gabrielle Oneill,139,Mandarin,587.8,Carter-Mcfarland,Daniel Richmond,Brenda Smith,Uzbekistan,894903,80.01,True
Worker,2013,3.1,Action,David Ashley,179,Hindi,500.81,Armstrong-Barnes,James Fernandez,Katherine Davis,Honduras,348333,176.62,False
Fly how rather,2022,2.1,Horror,Cheryl Keller,86,Korean,141.16,"Brown, Bishop and King",Regina Clark,Samantha James,South Georgia and the South Sandwich Islands,878475,243.51,False
Remain spring,1982,9.9,Sci-Fi,David Sharp,93,German,332.97,Williamson-Rodriguez,Dana Ho,Tricia Davis,Central African Republic,62129,202.11,False
Play action,1996,4.0,Animation,Dr. David Schwartz,145,Hindi,281.98,Allison-Craig,Kimberly Bennett,Shelley Ward,Tonga,991671,282.46,False
Project pick,1977,5.1,Romance,Karen Martinez MD,127,German,712.12,"Mcdaniel, James and Clark",Emily Robertson,Dan Alvarado,Dominica,105406,55.2,False
Baby inside partner listen,2022,4.5,Drama,Margaret Walker,148,Mandarin,414.67,Smith LLC,Christian Gay,Belinda Shaw,Guyana,183984,119.94,True
Central listen well,2020,5.1,Comedy,Tina Simon,121,Spanish,381.53,Miller-Bullock,Ray Campbell,Mary Davis,Niger,415699,84.32,True
Light process,1983,7.3,Fantasy,Brian Coleman,169,French,875.46,Gonzales PLC,James Hooper,Theresa Hanson,Belize,58347,78.11,True
Citizen sense,2010,4.8,Sci-Fi,Jennifer Mejia,166,Japanese,317.29,Richardson-King,Connor Callahan,Tammy Garcia,United States Virgin Islands,73620,67.51,False
Sign whom,2010,4.4,Mystery,Tara Johnson,121,French,864.9,Hawkins Inc,Anthony Hale,Valerie Solis,Bosnia and Herzegovina,288281,131.87,True
Result class,1974,9.7,Horror,Mr. Anthony Owen,171,Spanish,123.57,Miller-Ortega,Jon Owens,Scott Ramirez,Bahamas,86326,195.47,False
Lawyer form strategy dream,1999,2.1,Action,Daniel Walker,107,Japanese,512.37,"Arnold, Wilcox and Johnson",Andrew Hernandez,Lauren Duarte,Angola,459847,73.87,True
Research remain,2021,4.8,Horror,Gregory Woodard,88,Spanish,407.07,Williamson-Stephens,Allison Hurley,Desiree Mcdonald,Benin,683841,286.32,True
Individual guy,1973,6.8,Animation,Benjamin Holt,178,Spanish,300.8,Stokes LLC,Taylor Schneider,Michael Hoffman,Benin,49284,184.47,True
Last if draw,1972,3.2,Thriller,Joshua Ramos,168,French,191.52,"Singh, Coleman and Kent",Louis Myers,Alexis Oconnell,Israel,809236,148.91,True
Television time as,1989,5.4,Action,Martha Alvarez,173,Spanish,746.61,Brown-Hicks,Sabrina Martin,James Green,Cook Islands,358524,291.81,False
Perhaps evidence explain,1996,7.0,Thriller,Christopher Collins,178,Mandarin,55.64,Perry and Sons,Elizabeth Whitney,Alicia Clark,Heard Island and McDonald Islands,457025,292.68,True
Any believe,1988,5.0,Horror,Yolanda Torres,100,German,748.85,"Duncan, Martin and Perez",Kristina Green,Paul Thompson,Mozambique,785676,80.69,False
Also organization,1983,9.7,Horror,Frank Neal,98,English,788.01,Potter-Alvarez,Melissa Beard,Marilyn Parker,Belize,768884,26.14,False
Step pull security bar,1985,8.4,Mystery,Angel Montgomery,122,Spanish,968.67,Williams-Clark,Jean Johnson,Shannon Fritz,Bermuda,413444,49.37,True
Seven spend authority,2012,3.4,Drama,Emily Doyle,133,Korean,780.32,West Group,Virginia Mason,Tracy Johnson,Mongolia,968428,146.16,True
Simply actually,2004,9.7,Sci-Fi,Zachary Evans,106,Korean,530.08,Smith Ltd,Patrick Smith,Victoria Daniel,Guernsey,435319,116.52,True
Plant two,1990,8.6,Fantasy,Ryan Alvarez,132,French,396.75,Brown Inc,Leslie Foley,Kevin Arnold,Hong Kong,167654,45.61,False
Good low industry,2000,3.8,Fantasy,Matthew Maynard,90,Spanish,146.33,"Meadows, Schwartz and Leonard",Thomas Richard,Robert Mcdaniel,Lebanon,18639,109.74,False
Claim well,1996,8.4,Thriller,Stacy Warren,137,Mandarin,535.38,"Brown, Jones and Dorsey",Amy Walker,Theresa Johnson,Tokelau,492114,67.58,True
Training radio better,1993,2.5,Drama,Joseph Ramirez,143,English,607.49,"Benson, Compton and Pitts",Craig James,Barbara Guzman,Micronesia,697074,280.78,True
Watch season,2005,6.3,Animation,Gregory Woodard,118,Japanese,476.32,"Scott, Rogers and Stout",Bethany Ross,Megan Hernandez,Sao Tome and Principe,645855,288.83,True
Talk poor result,2016,2.1,Horror,Russell Palmer,90,Korean,616.84,Silva Inc,April Figueroa,William Buckley,Brazil,73657,89.9,False
Responsibility support human,1982,8.1,Sci-Fi,Nicole Woods,90,Korean,464.56,Vaughn and Sons,Travis Stewart,Melissa Allen,Svalbard & Jan Mayen Islands,594895,113.37,False
Health very,2022,9.9,Mystery,Stanley Morris,93,Korean,821.86,"Smith, Jefferson and Reyes",Eric Sparks,Jeff Matthews,Tajikistan,513649,116.49,True
Almost third,2014,9.2,Horror,Shawn Barnes,156,Korean,723.69,Martin-Ellis,Ryan White,Kathryn Reed,Somalia,540082,275.11,False
Study imagine between assume,1986,1.2,Romance,David Ashley,90,French,52.12,Richardson and Sons,Melissa Reed,Misty Allen,Saint Lucia,500789,111.25,False
Beyond size business anyone,1998,3.3,Mystery,Audrey Graham,99,Korean,207.7,Mayo and Sons,Rebecca Wagner,David Mckinney,Belarus,581599,24.69,False
Such scene possible,2017,6.8,Thriller,Zachary Evans,94,French,879.58,White LLC,Julie Young,Sarah White,Cameroon,911457,49.5,True
Entire,1993,4.3,Thriller,Melissa Jackson,171,Japanese,802.08,Morris LLC,Juan Rich,Jane Reed,Turks and Caicos Islands,466571,233.24,True
Century goal,2015,4.4,Fantasy,Dr. Tammy Moore,87,Korean,744.27,Gomez Inc,Benjamin Harvey,Mitchell Christian,Palestinian Territory,895920,133.75,False
Good suddenly,2006,7.9,Comedy,Mark Powers,101,Japanese,955.94,"Simmons, Murray and Scott",Toni Dean,Kristopher Doyle,Liberia,757011,171.1,True
Instead,2003,7.7,Horror,Shawn Barnes,84,Spanish,871.02,Gutierrez-Stewart,Lauren Stewart,Dr. Robert Pratt Jr.,Malawi,192792,125.19,True
Admit participant born chair,2021,7.8,Fantasy,Rebecca Clark,81,Hindi,931.04,Rogers Group,Dr. Susan Williams,Erin Reed,Yemen,539040,65.02,True
Great operation,2008,4.3,Fantasy,Adam Hodge,180,Spanish,235.69,"Oneal, Adkins and Freeman",Victoria Salinas,Denise Chambers,United Arab Emirates,828224,153.96,True
Animal value environment,2008,3.4,Action,Kenneth Graves,156,Japanese,959.74,Hinton-Chang,Austin Ford,Daniel Hall,Saint Lucia,630496,279.91,True
Simple item,1978,5.4,Comedy,Ms. Kimberly Andrews,100,English,621.29,Spears PLC,Donna Sims,Joseph Harding,Germany,211251,28.55,True
Plan skin including,1980,9.2,Action,Zachary Baxter,127,Spanish,999.54,Conley-Simpson,Vickie Kline,David Garcia,Eritrea,839055,221.93,False
Bank American imagine,2011,8.5,Sci-Fi,Thomas Hernandez,87,French,487.75,Paul-Johnson,Adam Dillon,Karen Brown,Rwanda,853353,192.6,True
Street throw,2009,2.6,Comedy,Christine Thomas,117,Korean,504.78,Mccarthy-Harrison,Julie Ellis,Sean Sexton,Peru,947074,129.77,True
Television,1996,5.0,Fantasy,Chad Brooks,130,Japanese,433.74,"Chen, Howard and Hamilton",Glenn Wilson,Caitlin Weeks,Tunisia,409481,5.07,True
Letter loss,2003,5.7,Sci-Fi,Charles Coleman,175,German,178.35,"Jenkins, May and Mcclain",Tamara Taylor,Kimberly Diaz,Pakistan,808758,87.17,False
Indeed see,1978,8.3,Action,Julie Wright,159,Hindi,930.21,Williams-Taylor,Alicia Taylor,Lisa Tucker,Cyprus,845976,255.3,True
Pattern understand discover front,1995,8.5,Animation,Kristen Byrd,117,Hindi,300.88,Adams Ltd,Shannon White,Christopher Boyle,Kiribati,150473,86.05,True
Face off case,2011,7.6,Horror,John Reese,176,Korean,733.75,"Lutz, Hicks and Collins",William Boyer,David Ward,Swaziland,381740,56.63,False
Prove able,1992,2.1,Comedy,Hayden Mckinney,178,Spanish,65.23,Valdez Ltd,Sabrina West,Ashley Stanley,Russian Federation,856614,155.72,True
Never,1992,5.1,Thriller,Sandra Dickerson,173,Hindi,340.53,"Wagner, Cannon and Guzman",Joshua Ellis,Anna Beasley,Puerto Rico,948013,265.54,False
And win style,1998,8.9,Thriller,Carrie Moreno,105,Mandarin,81.63,Spencer-Smith,Mike Black,Randy Joseph,Wallis and Futuna,350195,202.8,True
Within include lead,1998,3.8,Thriller,Nancy Thompson,82,French,168.15,Miller Group,Lynn Robinson,Jamie Flores,Netherlands,942231,124.62,True
Leg employee,2005,3.1,Sci-Fi,Michelle Hunt,135,Mandarin,77.44,"Little, Cobb and Acosta",Matthew Mason,Sara Gibson,Luxembourg,101190,245.75,False
Far challenge along,2010,1.9,Mystery,Andre Mcdonald,146,French,183.49,"Petty, Moran and Jackson",Jennifer Franco,Madison Garcia,Ukraine,203295,99.53,True
Grow accept to out,1976,3.4,Sci-Fi,Mark Singh,122,English,933.81,Schneider-Thompson,Kevin Stein,Gerald Williams,South Georgia and the South Sandwich Islands,630606,192.65,True
Near skill,1996,8.8,Drama,Natalie Cunningham,147,Hindi,108.21,"Garrett, Ramirez and Harris",Sarah Gonzales,Marco Holmes PhD,Turkey,618155,42.62,True
Tonight billion minute quickly,2021,3.0,Sci-Fi,Brittney Stewart,130,Japanese,216.16,Keller-Reynolds,Jeremiah Perez,Scott Robinson,Saint Helena,107852,116.23,True
Everybody wind human star,1982,7.0,Animation,Thomas Silva,170,Spanish,35.44,Whitaker PLC,Philip Stephenson,Christopher Hayes,Tuvalu,471093,246.6,True
Rich off live,2019,6.3,Sci-Fi,Seth Jimenez,133,English,286.83,"Johnson, Cannon and Moore",Craig Garcia,Sean Bryan,Rwanda,268688,272.2,False
Pull indeed much,1995,2.7,Animation,Diana Allen,89,German,804.67,Hampton and Sons,Kimberly Flores,Eric Parker,Isle of Man,799582,210.07,True
Player because light,1998,2.3,Thriller,Thomas Smith,117,English,618.92,"Daniel, Williams and Doyle",Shannon Wilson,Sarah Warren,Macao,974466,142.94,False
Base cause first,2002,7.3,Animation,Evan Mckee,160,English,669.85,Brooks-Lowe,Ms. Nicole Lopez,Wyatt Green,Peru,629541,30.29,False
Quickly off,1978,1.8,Romance,Natalie Cunningham,150,English,312.92,Bonilla Group,Bridget Gray,Miss Alyssa Moore PhD,Angola,217258,205.41,False
Become training control,2004,9.9,Comedy,Chad Johnson,99,Korean,302.7,"Hampton, Davis and Garner",Meredith Jackson,Brenda Lewis,Turkmenistan,400228,206.33,False
Fire discover recognize,2016,3.8,Mystery,Andrea Smith,129,Hindi,140.66,Davis-Phillips,Blake Robinson,Angelica Knight,Thailand,286314,289.6,True
Strong a,2004,5.7,Fantasy,James Conley,87,Mandarin,446.9,Ramos-Kelly,Bianca Ramirez,Rebecca Horne,Jersey,241063,216.53,True
Prepare watch international,2007,1.3,Drama,Thomas Hernandez,111,Hindi,355.94,French Group,Martha Brown,Brandy Hale,Burkina Faso,466166,212.33,False
Nation require data,1976,1.4,Horror,Paula Ray,126,German,347.76,Owen PLC,Michele Spencer,Brenda Thompson,Slovenia,214164,176.79,False
Evidence culture start,2005,2.7,Action,Ashley Roberson,132,French,221.29,Walker-Jones,Hannah Munoz,Robert Harris,Netherlands Antilles,807384,31.63,True
Break sing,2018,8.9,Action,Nancy Thompson,179,Korean,185.35,Crawford Inc,Ryan Townsend,Kristen Medina,Finland,726018,103.59,False
Street public itself,1986,7.7,Thriller,Ashley Roberson,147,Spanish,114.21,Espinoza-Johnson,Russell Small,Gary Stuart,Honduras,554406,77.36,False
Scene machine himself,1986,4.3,Comedy,Donald Stephens,155,French,876.81,Williams and Sons,Richard Miller,Douglas Bowman,French Southern Territories,799288,180.41,False
Power then majority,1976,3.1,Sci-Fi,Rebecca Singleton,87,French,290.37,Wilson PLC,Scott Johnson,Crystal Burgess,Sweden,573321,71.38,True
Ok big,1973,8.2,Animation,Michael Bauer,126,Japanese,231.32,Perez Group,Sean Blanchard,Gregory Dunn,San Marino,755104,106.7,False
Production,1980,2.0,Comedy,Jeffery Anderson,86,English,570.97,Wilson-Chandler,Natalie Hughes,Gina Carroll,Northern Mariana Islands,780231,232.13,True
Television check hear,2023,8.3,Mystery,Jordan Patterson,148,English,745.07,Stevens LLC,Charles Moody,Brian Hatfield,Nigeria,724315,138.88,False
Everybody various front least,2024,5.3,Drama,Clayton Horn,94,German,279.4,"Church, Blake and Armstrong",Paula Wilson,Christopher Duncan,Andorra,929798,271.21,False
Rise,1976,6.4,Romance,Michelle Brown,94,Japanese,986.2,Ryan-Caldwell,Melanie Cunningham,Alicia Young,Wallis and Futuna,140026,91.39,True
Federal large far,2004,3.5,Horror,Christina Benitez,150,Hindi,739.67,Mcgrath and Sons,William Silva,Deborah Erickson,Costa Rica,282878,99.92,True
Focus or evidence,1998,4.6,Thriller,Joseph Russell,81,Japanese,586.75,Wu Inc,Tammy Harvey,Heather Brown,French Guiana,47646,192.8,True
Prepare with but,1970,6.0,Drama,Monica Jones,84,English,12.01,Brown LLC,David Mitchell,Stephen Williams,Korea,48377,31.83,True
Eye alone wonder,1989,7.6,Mystery,Brian Coleman,128,German,622.69,"Lopez, Galloway and Thomas",Megan Atkinson,Pamela Powell,China,803287,132.6,True
Together focus seek,1992,3.0,Romance,Mark Singh,139,French,297.25,"Castaneda, Jackson and Fry",Kayla Hill,Noah Porter,Guyana,529681,229.4,False
Fear identify,1973,1.6,Mystery,Clayton Horn,103,Spanish,276.48,"Maddox, Vaughn and Myers",Michael Marquez,Patricia Ruiz,Canada,81205,106.34,False
Direction,1992,2.4,Romance,Abigail Silva,157,Korean,806.39,Page and Sons,Carl Molina,Mark Mccoy,Qatar,746488,95.94,False
Financial risk,1990,7.2,Drama,Chad Brooks,112,Hindi,346.59,Boyd PLC,Michael Sullivan,Alejandra Richards,Chad,652615,143.58,False
Audience owner,1983,4.0,Sci-Fi,Jennifer Jones,133,Mandarin,385.61,"Logan, Mathis and Thomas",Erica Ramirez,Mary Garza,Turkmenistan,944610,202.67,False
